Menu,Secondary Service Tone
"For support, press 6. For sales, press *.",*
"returns department can be reached by pressing 6. If you need sales, please press 2.",2
"returns department can be reached by pressing 4. complaints department can be reached by pressing 6. representatives inquiries, please press 5.",5
"billing inquiries, please press #. If you need technical support, please press 2. reservations department can be reached by pressing 4.",4
"Press 7 to speak with a returns representative. quotes inquiries, please press #.",#
"For returns, press 1. Press 7 to speak with a technical support representative. For complaints, press 4. support department can be reached by pressing 2. If you need customer support, please press 9.",9
"billing department can be reached by pressing #. Press 3 to speak with a complaints representative. For returns, press 0. For support, press 1. quotes department can be reached by pressing 4.",4
"Press 5 to speak with a returns representative. complaints inquiries, please press 9. Press * to speak with a billing representative. If you need quotes, please press 1.",1
"For technical support, press 1. support department can be reached by pressing *. Press 9 to speak with a complaints representative. For customer support, press 0.",0
"If you need billing, please press *. complaints inquiries, please press 0. estimates inquiries, please press 1.",1
"technical support inquiries, please press 1. sales inquiries, please press *.",*
"returns inquiries, please press *. support inquiries, please press 4. If you need representatives, please press 8.",8
"For complaints, press 3. billing inquiries, please press 5. returns department can be reached by pressing 1. Press 9 to speak with a support representative. customer support department can be reached by pressing *.",*
"For technical support, press 9. billing inquiries, please press 4. For support, press 1. complaints inquiries, please press 8. sales inquiries, please press 6.",6
"Press 6 to speak with a technical support representative. If you need customer support, please press 8.",8
"support inquiries, please press 5. for any else department can be reached by pressing 2.",2
"Press * to speak with a complaints representative. For quotes, press 8.",8
"billing department can be reached by pressing 1. Press 3 to speak with a support representative. For complaints, press 4. If you need sales, please press 7.",7
"support department can be reached by pressing 3. complaints department can be reached by pressing 5. technical support inquiries, please press 7. If you need returns, please press *. For for any else, press 4.",4
"Press 1 to speak with a complaints representative. returns inquiries, please press 8. Press 9 to speak with a sales representative.",9
"billing department can be reached by pressing 1. If you need complaints, please press 3. For customer support, press 0.",0
"Press 1 to speak with a technical support representative. support department can be reached by pressing 0. For estimates, press 8.",8
"support department can be reached by pressing 5. Press * to speak with a complaints representative. billing department can be reached by pressing #. If you need representatives, please press 4.",4
"Press 1 to speak with a returns representative. For billing, press 7. For reservations, press 4.",4
"For returns, press 9. Press 6 to speak with a reservations representative.",6
"Press # to speak with a technical support representative. If you need billing, please press 4. support department can be reached by pressing 9. Press 5 to speak with a reservations representative.",5
"If you need technical support, please press 6. support department can be reached by pressing *. Press 3 to speak with a complaints representative. sales department can be reached by pressing 9.",9
"Press 1 to speak with a support representative. Press 5 to speak with a complaints representative. Press 7 to speak with a billing representative. For reservations, press *.",*
"Press 0 to speak with a complaints representative. Press 8 to speak with a technical support representative. For returns, press 2. Press * to speak with a billing representative. reservations inquiries, please press 3.",3
"For complaints, press 3. support inquiries, please press #. If you need technical support, please press 6. Press 0 to speak with a representatives representative.",0
"Press 5 to speak with a returns representative. If you need complaints, please press 0. For for any else, press 4.",4
"If you need technical support, please press *. For support, press 4. If you need reservations, please press 2.",2
"If you need returns, please press 0. If you need sales, please press 1.",1
"returns department can be reached by pressing 2. billing department can be reached by pressing 1. For complaints, press #. representatives department can be reached by pressing 7.",7
"technical support inquiries, please press 0. If you need quotes, please press #.",#
"returns department can be reached by pressing 6. support department can be reached by pressing 8. If you need complaints, please press #. For billing, press *. For sales, press 9.",9
"returns department can be reached by pressing 8. complaints department can be reached by pressing 7. If you need billing, please press 1. Press 0 to speak with a estimates representative.",0
"billing inquiries, please press 2. complaints inquiries, please press 5. technical support inquiries, please press 8. For customer support, press 1.",1
"returns department can be reached by pressing 1. For billing, press 0. For technical support, press 3. reservations inquiries, please press #.",#
"If you need technical support, please press 3. quotes inquiries, please press 9.",9
"If you need billing, please press 4. If you need technical support, please press 2. For complaints, press 8. Press 3 to speak with a support representative. For estimates, press *.",*
"For technical support, press 2. Press 3 to speak with a support representative. Press 6 to speak with a returns representative. If you need billing, please press *. customer support inquiries, please press 5.",5
"If you need billing, please press 6. for any else department can be reached by pressing 3.",3
"For complaints, press 5. Press 4 to speak with a returns representative. For quotes, press 9.",9
"Press 7 to speak with a returns representative. For complaints, press *. estimates inquiries, please press 2.",2
Press # to speak with a billing representative. Press 5 to speak with a representatives representative.,5
"Press * to speak with a returns representative. For complaints, press 0. billing inquiries, please press 1. representatives inquiries, please press #.",#
"returns inquiries, please press 6. complaints department can be reached by pressing 8. billing department can be reached by pressing 7. For for any else, press 9.",9
"If you need complaints, please press 0. If you need estimates, please press 3.",3
"support inquiries, please press 0. For billing, press 8. If you need complaints, please press 4. sales inquiries, please press 7.",7
"billing department can be reached by pressing 1. Press 6 to speak with a technical support representative. If you need complaints, please press 5. returns department can be reached by pressing 4. If you need for any else, please press 0.",0
"Press 7 to speak with a returns representative. technical support department can be reached by pressing 2. customer support inquiries, please press 8.",8
"Press 9 to speak with a billing representative. For complaints, press 0. Press 2 to speak with a for any else representative.",2
"If you need support, please press 8. Press # to speak with a billing representative. For technical support, press 2. Press 1 to speak with a estimates representative.",1
support department can be reached by pressing 5. billing department can be reached by pressing 8. Press 6 to speak with a customer support representative.,6
"Press 2 to speak with a technical support representative. billing department can be reached by pressing 1. If you need complaints, please press 4. returns inquiries, please press 0. for any else inquiries, please press 5.",5
"Press 4 to speak with a complaints representative. customer support inquiries, please press 6.",6
"technical support department can be reached by pressing 3. For support, press #. complaints inquiries, please press 9. customer support inquiries, please press 5.",5
"For complaints, press 5. If you need support, please press 1. Press 9 to speak with a customer support representative.",9
"Press 2 to speak with a support representative. sales inquiries, please press 8.",8
"If you need returns, please press 2. complaints department can be reached by pressing 9. Press 1 to speak with a support representative. For customer support, press 0.",0
"complaints department can be reached by pressing 6. If you need billing, please press 2. technical support department can be reached by pressing 7. Press 9 to speak with a returns representative. representatives department can be reached by pressing 1.",1
"If you need returns, please press 3. Press * to speak with a support representative. For technical support, press 1. customer support inquiries, please press 7.",7
"Press 5 to speak with a returns representative. Press 2 to speak with a billing representative. For customer support, press 4.",4
Press 2 to speak with a technical support representative. support department can be reached by pressing 1. representatives department can be reached by pressing #.,#
"If you need billing, please press 4. If you need sales, please press 5.",5
"complaints department can be reached by pressing 7. billing inquiries, please press 8. technical support department can be reached by pressing 9. for any else inquiries, please press 4.",4
"technical support inquiries, please press 4. support inquiries, please press 0. complaints department can be reached by pressing 8. sales inquiries, please press 9.",9
"Press 1 to speak with a billing representative. complaints department can be reached by pressing 8. For estimates, press 3.",3
"technical support inquiries, please press 7. complaints inquiries, please press #. For billing, press 2. For support, press 9. If you need reservations, please press 0.",0
"Press 8 to speak with a returns representative. For complaints, press 2. If you need support, please press 3. If you need technical support, please press *. Press 1 to speak with a quotes representative.",1
"If you need complaints, please press 5. returns department can be reached by pressing 9. technical support department can be reached by pressing 2. For support, press #. If you need estimates, please press 4.",4
"If you need technical support, please press *. Press 4 to speak with a support representative. For sales, press 5.",5
"If you need technical support, please press 5. complaints department can be reached by pressing *. sales inquiries, please press 0.",0
"If you need billing, please press 8. If you need sales, please press 7.",7
"complaints department can be reached by pressing 9. billing department can be reached by pressing 6. For sales, press #.",#
"Press 9 to speak with a returns representative. complaints inquiries, please press 8. billing department can be reached by pressing 0. If you need for any else, please press 7.",7
"For billing, press 5. For representatives, press 7.",7
Press * to speak with a support representative. Press 1 to speak with a sales representative.,1
"Press # to speak with a returns representative. Press 7 to speak with a technical support representative. Press 2 to speak with a support representative. For sales, press 9.",9
"complaints department can be reached by pressing #. Press 2 to speak with a support representative. For technical support, press 8. reservations inquiries, please press 5.",5
"Press 8 to speak with a support representative. If you need representatives, please press 6.",6
"For returns, press 2. for any else department can be reached by pressing 8.",8
"support inquiries, please press 1. For complaints, press 7. estimates department can be reached by pressing *.",*
"complaints inquiries, please press 0. If you need technical support, please press 4. If you need support, please press #. billing inquiries, please press 8. quotes department can be reached by pressing 5.",5
"returns department can be reached by pressing 0. support inquiries, please press 7. For billing, press 9. Press 6 to speak with a quotes representative.",6
"returns inquiries, please press 0. Press * to speak with a quotes representative.",*
"billing inquiries, please press #. For complaints, press 4. Press 0 to speak with a returns representative. For support, press 6. For reservations, press *.",*
"For billing, press 4. For complaints, press 8. representatives inquiries, please press 1.",1
"billing department can be reached by pressing #. support inquiries, please press 2. If you need representatives, please press 0.",0
"returns inquiries, please press 8. Press 1 to speak with a support representative. For reservations, press 2.",2
"billing department can be reached by pressing 9. For support, press 1. representatives department can be reached by pressing 6.",6
"returns department can be reached by pressing 7. support department can be reached by pressing 4. Press 1 to speak with a complaints representative. If you need billing, please press 2. representatives inquiries, please press 0.",0
complaints department can be reached by pressing *. Press 5 to speak with a for any else representative.,5
"technical support inquiries, please press 2. Press 6 to speak with a billing representative. complaints department can be reached by pressing 1. Press 0 to speak with a support representative. If you need customer support, please press 8.",8
"Press * to speak with a billing representative. For returns, press 5. For customer support, press 1.",1
"For technical support, press 2. Press 6 to speak with a complaints representative. If you need for any else, please press 3.",3
"support department can be reached by pressing 1. For technical support, press 4. For customer support, press 6.",6
"Press 5 to speak with a billing representative. support inquiries, please press 2. returns department can be reached by pressing 8. Press 1 to speak with a technical support representative. For for any else, press 3.",3
"If you need returns, please press 6. billing inquiries, please press 5. customer support department can be reached by pressing *.",*
"support inquiries, please press *. If you need complaints, please press 0. billing inquiries, please press #. For sales, press 2.",2
"For billing, press 0. If you need customer support, please press 3.",3
"Press 9 to speak with a technical support representative. Press 8 to speak with a support representative. For returns, press 4. If you need complaints, please press #. If you need estimates, please press 7.",7
"returns inquiries, please press 6. For complaints, press 4. If you need billing, please press 5. customer support department can be reached by pressing 1.",1
"Press 5 to speak with a complaints representative. estimates inquiries, please press *.",*
"For complaints, press 3. If you need support, please press 0. If you need customer support, please press 7.",7
"complaints department can be reached by pressing 9. technical support inquiries, please press 1. customer support department can be reached by pressing #.",#
"returns inquiries, please press 9. billing inquiries, please press 6. If you need reservations, please press 7.",7
"For technical support, press 2. For billing, press 7. complaints department can be reached by pressing #. Press 3 to speak with a support representative. For sales, press 4.",4
"Press 9 to speak with a billing representative. Press 2 to speak with a complaints representative. For returns, press 1. Press 4 to speak with a representatives representative.",4
Press 9 to speak with a support representative. Press 2 to speak with a sales representative.,2
"If you need technical support, please press #. support department can be reached by pressing 8. complaints inquiries, please press 3. For billing, press 7. For quotes, press *.",*
"complaints department can be reached by pressing 6. For billing, press 2. returns inquiries, please press 3. If you need technical support, please press #. For representatives, press 7.",7
"Press # to speak with a complaints representative. If you need sales, please press *.",*
"support department can be reached by pressing 2. returns inquiries, please press 3. Press 8 to speak with a complaints representative. billing inquiries, please press 7. For customer support, press 1.",1
"technical support department can be reached by pressing 8. returns inquiries, please press 3. sales inquiries, please press *.",*
"If you need support, please press *. billing department can be reached by pressing 5. For technical support, press 2. estimates department can be reached by pressing 4.",4
"For technical support, press 1. If you need complaints, please press 3. representatives department can be reached by pressing 4.",4
"support department can be reached by pressing 1. If you need returns, please press 4. If you need complaints, please press 0. If you need reservations, please press 6.",6
"billing inquiries, please press 3. support inquiries, please press 8. customer support inquiries, please press 2.",2
"technical support inquiries, please press 1. For billing, press 6. For for any else, press 7.",7
"Press 4 to speak with a complaints representative. returns department can be reached by pressing 8. For support, press 2. Press 0 to speak with a technical support representative. reservations department can be reached by pressing *.",*
"For technical support, press 5. For quotes, press 4.",4
"For billing, press 5. If you need complaints, please press 1. support inquiries, please press 3. estimates department can be reached by pressing 8.",8
"For technical support, press 7. support inquiries, please press 3. complaints department can be reached by pressing *. If you need quotes, please press #.",#
"technical support inquiries, please press 0. returns department can be reached by pressing 7. Press * to speak with a support representative. billing department can be reached by pressing 8. For customer support, press 1.",1
"billing department can be reached by pressing 0. If you need for any else, please press 9.",9
billing department can be reached by pressing 4. representatives department can be reached by pressing *.,*
"Press # to speak with a support representative. returns inquiries, please press *. Press 0 to speak with a customer support representative.",0
"For technical support, press 6. For representatives, press 8.",8
"Press 4 to speak with a billing representative. support department can be reached by pressing 1. For returns, press 2. complaints department can be reached by pressing 7. sales department can be reached by pressing 8.",8
"complaints department can be reached by pressing 1. sales inquiries, please press 9.",9
"For technical support, press 3. For returns, press 8. support inquiries, please press 6. If you need estimates, please press *.",*
"Press 0 to speak with a support representative. technical support inquiries, please press 1. Press 7 to speak with a estimates representative.",7
"For technical support, press 9. Press 1 to speak with a billing representative. Press 0 to speak with a support representative. If you need sales, please press #.",#
complaints department can be reached by pressing *. Press 6 to speak with a returns representative. Press 2 to speak with a customer support representative.,2
"complaints department can be reached by pressing 8. If you need support, please press 6. For for any else, press 3.",3
"If you need billing, please press 3. for any else department can be reached by pressing *.",*
"complaints department can be reached by pressing *. billing department can be reached by pressing 7. Press 5 to speak with a technical support representative. For representatives, press 4.",4
"complaints inquiries, please press 7. support department can be reached by pressing 1. representatives inquiries, please press 2.",2
"If you need billing, please press 1. If you need technical support, please press 8. complaints department can be reached by pressing 5. support department can be reached by pressing 6. representatives department can be reached by pressing *.",*
"Press 4 to speak with a complaints representative. returns department can be reached by pressing 3. billing inquiries, please press 2. If you need technical support, please press *. quotes department can be reached by pressing 9.",9
"For complaints, press 0. billing department can be reached by pressing 5. For returns, press 7. quotes department can be reached by pressing 9.",9
"If you need returns, please press 6. For technical support, press 1. Press * to speak with a complaints representative. reservations department can be reached by pressing 9.",9
"Press 2 to speak with a support representative. complaints inquiries, please press 4. Press 9 to speak with a returns representative. quotes department can be reached by pressing 7.",7
"Press 5 to speak with a support representative. For billing, press 0. If you need technical support, please press 4. If you need quotes, please press 7.",7
"technical support inquiries, please press 3. Press # to speak with a complaints representative. For support, press 5. customer support department can be reached by pressing 6.",6
"If you need billing, please press 8. Press 1 to speak with a customer support representative.",1
"For complaints, press #. support department can be reached by pressing 5. technical support inquiries, please press 2. returns inquiries, please press 1. If you need reservations, please press *.",*
"If you need technical support, please press 4. For billing, press *. If you need quotes, please press #.",#
"Press 5 to speak with a complaints representative. billing inquiries, please press 2. If you need quotes, please press 0.",0
"complaints department can be reached by pressing 4. billing inquiries, please press 0. Press 1 to speak with a for any else representative.",1
"technical support department can be reached by pressing 6. If you need for any else, please press 4.",4
"Press 6 to speak with a returns representative. If you need support, please press 2. If you need technical support, please press 0. If you need billing, please press 8. Press 9 to speak with a for any else representative.",9
"If you need complaints, please press 2. customer support department can be reached by pressing 0.",0
"billing inquiries, please press #. representatives department can be reached by pressing *.",*
"support inquiries, please press #. For billing, press 8. complaints inquiries, please press 5. If you need returns, please press 1. sales department can be reached by pressing 2.",2
"Press 2 to speak with a support representative. Press # to speak with a billing representative. Press 1 to speak with a returns representative. If you need representatives, please press 3.",3
"If you need support, please press 2. For technical support, press *. estimates inquiries, please press 1.",1
"billing inquiries, please press #. If you need returns, please press 8. technical support inquiries, please press 5. For support, press 3. quotes inquiries, please press *.",*
"If you need technical support, please press 9. If you need support, please press #. For billing, press *. If you need returns, please press 8. If you need reservations, please press 3.",3
"If you need technical support, please press 2. Press # to speak with a support representative. quotes department can be reached by pressing 5.",5
"billing inquiries, please press 4. estimates department can be reached by pressing 0.",0
"Press * to speak with a complaints representative. If you need support, please press 0. billing department can be reached by pressing 8. If you need returns, please press 1. estimates inquiries, please press 5.",5
"technical support department can be reached by pressing 9. support department can be reached by pressing 2. Press 1 to speak with a complaints representative. returns inquiries, please press 0. If you need estimates, please press 6.",6
"For support, press 2. complaints department can be reached by pressing 0. For technical support, press #. returns department can be reached by pressing 7. If you need representatives, please press 1.",1
"Press 9 to speak with a complaints representative. billing inquiries, please press 2. technical support department can be reached by pressing 1. For sales, press 8.",8
"For support, press 3. returns department can be reached by pressing #. If you need sales, please press 9.",9
"For support, press 3. Press 2 to speak with a technical support representative. For sales, press 9.",9
"If you need returns, please press 6. for any else inquiries, please press 5.",5
"technical support inquiries, please press 3. returns department can be reached by pressing 7. Press 9 to speak with a complaints representative. support inquiries, please press 0. Press 2 to speak with a for any else representative.",2
"billing inquiries, please press 6. For support, press 3. returns inquiries, please press 5. sales department can be reached by pressing 0.",0
"billing inquiries, please press *. returns department can be reached by pressing 5. Press 4 to speak with a for any else representative.",4
"complaints department can be reached by pressing *. For support, press 9. returns inquiries, please press 3. technical support inquiries, please press 5. For estimates, press #.",#
"complaints department can be reached by pressing 1. If you need returns, please press 3. For billing, press 4. for any else inquiries, please press 2.",2
"For technical support, press 1. complaints inquiries, please press 0. Press 4 to speak with a billing representative. If you need support, please press 9. Press * to speak with a customer support representative.",*
"For complaints, press 6. returns department can be reached by pressing *. If you need billing, please press 3. If you need support, please press 5. customer support inquiries, please press 8.",8
"For complaints, press 4. For returns, press 3. technical support department can be reached by pressing 9. For estimates, press #.",#
"If you need complaints, please press 0. For support, press 8. Press 3 to speak with a returns representative. If you need technical support, please press 4. representatives department can be reached by pressing 7.",7
"If you need returns, please press 6. support inquiries, please press 4. technical support department can be reached by pressing 8. For quotes, press 5.",5
"technical support inquiries, please press 7. For billing, press *. support department can be reached by pressing #. If you need for any else, please press 9.",9
"returns department can be reached by pressing 6. Press * to speak with a billing representative. If you need complaints, please press 7. technical support inquiries, please press 9. customer support inquiries, please press 5.",5
"Press 2 to speak with a returns representative. sales inquiries, please press *.",*
"technical support inquiries, please press 4. If you need sales, please press 0.",0
"technical support inquiries, please press 9. If you need returns, please press 8. customer support department can be reached by pressing 6.",6
"Press 8 to speak with a support representative. returns inquiries, please press 5. Press 7 to speak with a complaints representative. If you need technical support, please press 6. reservations inquiries, please press 0.",0
"technical support inquiries, please press #. For returns, press 5. reservations department can be reached by pressing 0.",0
"For billing, press 7. If you need complaints, please press 0. If you need technical support, please press #. If you need support, please press 8. For customer support, press 3.",3
"technical support inquiries, please press 3. returns department can be reached by pressing 5. support inquiries, please press 9. sales department can be reached by pressing 4.",4
"For billing, press 5. Press 2 to speak with a representatives representative.",2
"Press 4 to speak with a support representative. For complaints, press 2. For technical support, press 0. If you need returns, please press 6. quotes department can be reached by pressing 9.",9
"support department can be reached by pressing 0. For billing, press *. For returns, press #. Press 4 to speak with a technical support representative. quotes department can be reached by pressing 1.",1
"Press 5 to speak with a complaints representative. If you need billing, please press 8. returns department can be reached by pressing 2. representatives department can be reached by pressing 4.",4
"For billing, press 4. representatives inquiries, please press 0.",0
"For returns, press 3. billing inquiries, please press *. estimates department can be reached by pressing 8.",8
"If you need complaints, please press 7. technical support department can be reached by pressing 1. support inquiries, please press #. Press 2 to speak with a returns representative. If you need sales, please press *.",*
"Press 1 to speak with a billing representative. Press 7 to speak with a returns representative. support inquiries, please press 3. For technical support, press #. representatives department can be reached by pressing 5.",5
"If you need billing, please press 9. returns department can be reached by pressing 7. For support, press 4. Press * to speak with a complaints representative. Press 1 to speak with a reservations representative.",1
complaints department can be reached by pressing 3. Press 6 to speak with a reservations representative.,6
"If you need billing, please press 4. Press # to speak with a customer support representative.",#
"Press 8 to speak with a complaints representative. technical support inquiries, please press 1. quotes inquiries, please press 5.",5
"billing inquiries, please press 4. If you need support, please press 6. technical support department can be reached by pressing #. returns inquiries, please press 7. Press 2 to speak with a representatives representative.",2
"Press 2 to speak with a technical support representative. If you need billing, please press 1. For support, press #. Press 0 to speak with a complaints representative. representatives department can be reached by pressing *.",*
"returns inquiries, please press 8. customer support department can be reached by pressing *.",*
"technical support department can be reached by pressing *. complaints inquiries, please press 8. For quotes, press 5.",5
"If you need support, please press 1. technical support inquiries, please press 4. billing department can be reached by pressing *. Press 0 to speak with a sales representative.",0
"For complaints, press 5. For technical support, press 9. If you need quotes, please press 7.",7
"technical support department can be reached by pressing 3. For complaints, press 2. returns department can be reached by pressing 1. support inquiries, please press 6. Press # to speak with a quotes representative.",#
"For support, press 6. billing inquiries, please press *. If you need returns, please press 4. reservations department can be reached by pressing 0.",0
"If you need complaints, please press 7. If you need billing, please press 8. technical support department can be reached by pressing #. If you need returns, please press 9. estimates inquiries, please press 6.",6
"For support, press 0. Press # to speak with a customer support representative.",#
"Press 2 to speak with a technical support representative. billing department can be reached by pressing 4. returns department can be reached by pressing 7. For support, press 8. If you need estimates, please press 3.",3
"If you need billing, please press 9. Press 5 to speak with a returns representative. If you need technical support, please press 0. If you need support, please press 3. estimates inquiries, please press 6.",6
"returns department can be reached by pressing 9. complaints department can be reached by pressing 0. billing inquiries, please press 6. technical support inquiries, please press 2. Press 5 to speak with a quotes representative.",5
"For complaints, press 1. Press 8 to speak with a returns representative. Press 9 to speak with a estimates representative.",9
"For technical support, press #. For estimates, press 7.",7
"If you need complaints, please press 7. support department can be reached by pressing #. Press 0 to speak with a returns representative. reservations department can be reached by pressing 3.",3
"support department can be reached by pressing 7. Press 9 to speak with a technical support representative. billing inquiries, please press 2. For complaints, press *. quotes inquiries, please press 5.",5
Press 7 to speak with a billing representative. Press 1 to speak with a sales representative.,1
"For returns, press *. If you need for any else, please press 0.",0
"technical support department can be reached by pressing 4. billing department can be reached by pressing 3. If you need returns, please press 1. If you need estimates, please press 0.",0
"support department can be reached by pressing 7. For returns, press 0. complaints department can be reached by pressing 2. Press # to speak with a technical support representative. If you need estimates, please press 3.",3
"Press * to speak with a technical support representative. Press 9 to speak with a billing representative. If you need support, please press 8. Press 2 to speak with a returns representative. If you need reservations, please press 4.",4
"technical support inquiries, please press 9. If you need support, please press *. Press 2 to speak with a returns representative. For estimates, press 4.",4
returns department can be reached by pressing #. Press 8 to speak with a quotes representative.,8
"For billing, press 3. Press 2 to speak with a returns representative. complaints inquiries, please press 6. For for any else, press 7.",7
"For billing, press *. For returns, press 7. If you need representatives, please press 0.",0
"Press 6 to speak with a returns representative. For technical support, press 5. Press 4 to speak with a billing representative. For complaints, press 8. for any else inquiries, please press 7.",7
"If you need technical support, please press *. If you need billing, please press 6. If you need returns, please press 9. representatives inquiries, please press 0.",0
"For billing, press *. For complaints, press 5. support inquiries, please press 6. For for any else, press 4.",4
"If you need returns, please press 3. Press 2 to speak with a complaints representative. If you need billing, please press 1. sales department can be reached by pressing #.",#
"Press 3 to speak with a returns representative. Press 0 to speak with a technical support representative. quotes inquiries, please press 2.",2
"Press 6 to speak with a support representative. If you need customer support, please press #.",#
"complaints inquiries, please press #. Press 1 to speak with a support representative. If you need quotes, please press 5.",5
"If you need complaints, please press *. support department can be reached by pressing 5. For billing, press 8. estimates inquiries, please press 9.",9
"complaints inquiries, please press 9. returns inquiries, please press 2. Press # to speak with a quotes representative.",#
"For returns, press 0. billing department can be reached by pressing 6. If you need support, please press 2. Press 8 to speak with a complaints representative. For estimates, press #.",#
"Press 1 to speak with a billing representative. If you need representatives, please press 5.",5
"If you need technical support, please press 5. representatives department can be reached by pressing 6.",6
"For billing, press 2. complaints inquiries, please press 9. returns department can be reached by pressing 0. If you need support, please press 5. Press 3 to speak with a customer support representative.",3
"For support, press 0. returns department can be reached by pressing 8. If you need complaints, please press *. For technical support, press 6. If you need for any else, please press 2.",2
"For technical support, press 1. quotes department can be reached by pressing *.",*
"If you need billing, please press 1. representatives inquiries, please press 4.",4
"complaints inquiries, please press 2. technical support inquiries, please press 8. If you need billing, please press 6. For support, press 1. If you need quotes, please press 4.",4
"support department can be reached by pressing *. If you need complaints, please press #. For representatives, press 3.",3
"support department can be reached by pressing 2. billing inquiries, please press 1. technical support inquiries, please press 0. Press 9 to speak with a returns representative. For sales, press 3.",3
"Press 0 to speak with a technical support representative. For support, press 7. If you need returns, please press 6. Press 3 to speak with a reservations representative.",3
"support inquiries, please press *. For complaints, press 2. Press 7 to speak with a technical support representative. estimates inquiries, please press 4.",4
"Press 7 to speak with a complaints representative. If you need technical support, please press 8. returns department can be reached by pressing #. If you need for any else, please press 0.",0
"returns department can be reached by pressing 9. support department can be reached by pressing 8. If you need reservations, please press 3.",3
"complaints inquiries, please press 3. technical support inquiries, please press 8. Press 5 to speak with a reservations representative.",5
"complaints department can be reached by pressing *. Press 5 to speak with a support representative. billing department can be reached by pressing 3. returns department can be reached by pressing 4. For for any else, press #.",#
"For billing, press *. If you need returns, please press 1. Press 6 to speak with a support representative. If you need sales, please press 3.",3
"technical support inquiries, please press 6. Press 1 to speak with a returns representative. For complaints, press 5. For customer support, press *.",*
"complaints inquiries, please press 4. If you need billing, please press 0. For returns, press 1. For support, press 6. quotes department can be reached by pressing 7.",7
"Press 5 to speak with a billing representative. If you need sales, please press 0.",0
"If you need support, please press 2. complaints department can be reached by pressing 8. technical support department can be reached by pressing 4. Press 9 to speak with a billing representative. For quotes, press 1.",1
"If you need support, please press 5. technical support inquiries, please press #. Press 4 to speak with a reservations representative.",4
"technical support inquiries, please press 0. support department can be reached by pressing 6. returns inquiries, please press 5. For for any else, press *.",*
"For technical support, press 0. For reservations, press 3.",3
"billing inquiries, please press 5. technical support inquiries, please press *. returns department can be reached by pressing 6. Press 4 to speak with a support representative. For reservations, press 0.",0
"Press * to speak with a billing representative. Press 4 to speak with a technical support representative. If you need returns, please press 7. Press 5 to speak with a support representative. For representatives, press #.",#
"For complaints, press #. For sales, press 7.",7
"support inquiries, please press 3. billing inquiries, please press 4. For technical support, press 6. representatives department can be reached by pressing 0.",0
"For returns, press *. billing inquiries, please press 5. technical support inquiries, please press 3. sales department can be reached by pressing 0.",0
"If you need returns, please press #. For support, press 7. For billing, press 6. estimates inquiries, please press *.",*
"If you need billing, please press #. For technical support, press 2. Press 9 to speak with a support representative. For representatives, press 4.",4
"Press 1 to speak with a billing representative. If you need quotes, please press 7.",7
"Press 2 to speak with a technical support representative. For support, press 4. If you need customer support, please press 1.",1
"complaints inquiries, please press *. technical support inquiries, please press 9. If you need billing, please press #. For reservations, press 0.",0
"Press 8 to speak with a complaints representative. For billing, press *. For customer support, press 9.",9
"If you need support, please press 0. Press 7 to speak with a complaints representative. If you need technical support, please press 1. sales inquiries, please press 9.",9
"Press 4 to speak with a returns representative. For estimates, press 7.",7
"complaints inquiries, please press #. For billing, press 5. For support, press 3. representatives department can be reached by pressing 7.",7
"Press 0 to speak with a billing representative. support department can be reached by pressing *. If you need returns, please press #. For technical support, press 8. For customer support, press 5.",5
"If you need complaints, please press *. For quotes, press 1.",1
"complaints department can be reached by pressing 0. For customer support, press *.",*
"If you need billing, please press 8. If you need customer support, please press 1.",1
"billing department can be reached by pressing 0. If you need customer support, please press 5.",5
"returns inquiries, please press 1. support inquiries, please press 8. Press 3 to speak with a billing representative. If you need complaints, please press *. Press 0 to speak with a customer support representative.",0
"Press 2 to speak with a technical support representative. For returns, press *. representatives inquiries, please press 4.",4
"Press 4 to speak with a support representative. If you need billing, please press 2. If you need complaints, please press #. Press 0 to speak with a reservations representative.",0
"returns department can be reached by pressing 5. billing department can be reached by pressing 6. For complaints, press #. support department can be reached by pressing 7. For quotes, press 9.",9
"For returns, press 4. If you need billing, please press 3. sales department can be reached by pressing 6.",6
"If you need returns, please press #. reservations department can be reached by pressing 8.",8
"Press 6 to speak with a billing representative. If you need customer support, please press 1.",1
"Press 4 to speak with a complaints representative. For returns, press 7. For billing, press 0. representatives department can be reached by pressing 3.",3
"Press 5 to speak with a support representative. If you need billing, please press 4. complaints inquiries, please press 6. sales inquiries, please press 8.",8
"If you need support, please press 9. Press 1 to speak with a customer support representative.",1
"For complaints, press #. billing department can be reached by pressing 1. For returns, press 7. Press 6 to speak with a support representative. If you need reservations, please press *.",*
"support department can be reached by pressing 5. reservations inquiries, please press 9.",9
"For complaints, press 7. technical support inquiries, please press 4. For billing, press 0. reservations department can be reached by pressing 9.",9
"Press 2 to speak with a technical support representative. support inquiries, please press #. If you need complaints, please press 1. Press 4 to speak with a reservations representative.",4
"support inquiries, please press *. Press 6 to speak with a technical support representative. If you need quotes, please press 5.",5
"returns inquiries, please press #. Press 7 to speak with a complaints representative. Press 1 to speak with a technical support representative. For representatives, press 3.",3
"If you need complaints, please press 7. For billing, press 9. technical support department can be reached by pressing #. Press 3 to speak with a customer support representative.",3
"Press 9 to speak with a technical support representative. If you need billing, please press 0. Press 8 to speak with a returns representative. reservations department can be reached by pressing *.",*
"For support, press *. returns inquiries, please press 3. quotes inquiries, please press 1.",1
